FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,Field1,Field2,Field3,Field4,Field5,Field6,Distance
929,953,6/29/2011,0.057997685,29.63183333000,-91.57223333000,1328,-91.63000000000,,29.52000000000,,,2.02000000000,0.12587169
930,954,6/29/2011,0.06025463,29.54318333000,-91.64041667000,1328,-91.63000000000,,29.52000000000,,,2.02000000000,0.02541601
1654,1702,7/1/2011,0.475046296,28.42258140000,-92.76140156000,96,-92.75000000000,,28.40000000000,,,0.23000000000,0.02529655
1655,1703,7/1/2011,0.47505787,28.42023573000,-92.76621624000,96,-92.75000000000,,28.40000000000,,,0.23000000000,0.02593166
1656,1704,7/1/2011,0.475717593,28.40343921000,-92.78191300000,96,-92.75000000000,,28.40000000000,,,0.23000000000,0.03209778
1657,1705,7/1/2011,0.476400463,28.39583333000,-92.73818333000,96,-92.75000000000,,28.40000000000,,,0.23000000000,0.01252976
1658,1706,7/1/2011,0.476412037,28.40695182000,-92.72828916000,96,-92.75000000000,,28.40000000000,,,0.23000000000,0.02279667
1659,1707,7/1/2011,0.476446759,28.40939289000,-92.71005732000,97,-92.68000000000,,28.40000000000,,,0.23000000000,0.03149077
1660,1708,7/1/2011,0.47712963,28.39710262000,-92.68003333000,97,-92.68000000000,,28.40000000000,,,0.23000000000,0.00289757
1661,1709,7/1/2011,0.477789352,28.39253743000,-92.66376030000,97,-92.68000000000,,28.40000000000,,,0.23000000000,0.01787226
1662,1710,7/1/2011,0.478472222,28.39412412000,-92.63313289000,98,-92.61000000000,,28.40000000000,,,0.22000000000,0.02386748
1663,1711,7/1/2011,0.479166667,28.38865479000,-92.60018016000,98,-92.61000000000,,28.40000000000,,,0.22000000000,0.01500477
1664,1712,7/1/2011,0.479178241,28.39437946000,-92.59254957000,98,-92.61000000000,,28.40000000000,,,0.22000000000,0.01833325
1665,1713,7/1/2011,0.479212963,28.39328279000,-92.57588142000,98,-92.61000000000,,28.40000000000,,,0.22000000000,0.03477353
1666,1714,7/1/2011,0.479861111,28.39756667000,-92.56455000000,99,-92.54000000000,,28.40000000000,,,0.22000000000,0.02467030
1667,1715,7/1/2011,0.480590278,28.40135713000,-92.51417036000,99,-92.54000000000,,28.40000000000,,,0.22000000000,0.02586527
1668,1716,7/1/2011,0.480613426,28.40247561000,-92.50432679000,100,-92.47000000000,,28.40000000000,,,0.22000000000,0.03441594
1669,1717,7/1/2011,0.481261574,28.40474913000,-92.49113359000,100,-92.47000000000,,28.40000000000,,,0.22000000000,0.02166063
1670,1718,7/1/2011,0.481284722,28.40551046000,-92.48246340000,100,-92.47000000000,,28.40000000000,,,0.22000000000,0.01362723
1671,1719,7/1/2011,0.481956019,28.43166667000,-92.47315000000,100,-92.47000000000,,28.40000000000,,,0.22000000000,0.03182296
1672,1720,7/1/2011,0.481967593,28.43397811000,-92.46851382000,100,-92.47000000000,,28.40000000000,,,0.22000000000,0.03401060
1650,1698,7/1/2011,0.473645833,28.48411891000,-92.72642968000,173,-92.75000000000,,28.47000000000,,,0.25000000000,0.02747551
1651,1699,7/1/2011,0.474363426,28.44601941000,-92.74158459000,173,-92.75000000000,,28.47000000000,,,0.25000000000,0.02541432
1652,1700,7/1/2011,0.474363426,28.44481694000,-92.73737594000,173,-92.75000000000,,28.47000000000,,,0.25000000000,0.02817008
1653,1701,7/1/2011,0.474363426,28.44919619000,-92.75610333000,173,-92.75000000000,,28.47000000000,,,0.25000000000,0.02168062
1673,1721,7/1/2011,0.481967593,28.43757002000,-92.47559851000,177,-92.47000000000,,28.47000000000,,,0.24000000000,0.03290968
1674,1722,7/1/2011,0.482673611,28.47180214000,-92.46323058000,177,-92.47000000000,,28.47000000000,,,0.24000000000,0.00700519
1675,1723,7/1/2011,0.483333333,28.48866646000,-92.45475696000,177,-92.47000000000,,28.47000000000,,,0.24000000000,0.02409952
1648,1696,7/1/2011,0.472939815,28.52044720000,-92.71837376000,254,-92.75000000000,,28.54000000000,,,0.26000000000,0.03718240
1649,1697,7/1/2011,0.472962963,28.50943333000,-92.72441667000,254,-92.75000000000,,28.54000000000,,,0.26000000000,0.03986011
1647,1695,7/1/2011,0.471574074,28.56557147000,-92.70042848000,255,-92.68000000000,,28.54000000000,,,0.26000000000,0.03272954
1676,1724,7/1/2011,0.484039352,28.52014183000,-92.44943720000,258,-92.47000000000,,28.54000000000,,,0.26000000000,0.02858628
1677,1725,7/1/2011,0.484074074,28.53738273000,-92.44509096000,258,-92.47000000000,,28.54000000000,,,0.26000000000,0.02504616
1678,1726,7/1/2011,0.484756944,28.56699544000,-92.43604689000,258,-92.47000000000,,28.54000000000,,,0.26000000000,0.04337704
1639,1687,7/1/2011,0.469502315,28.64370135000,-92.65734641000,338,-92.68000000000,,28.61000000000,,,0.28000000000,0.04060746
1640,1688,7/1/2011,0.470173611,28.63038264000,-92.67786423000,338,-92.68000000000,,28.61000000000,,,0.28000000000,0.02049423
1641,1689,7/1/2011,0.470185185,28.62466370000,-92.68348963000,338,-92.68000000000,,28.61000000000,,,0.28000000000,0.01507321
